Datetime,Cluster_Num,Width,Heigh,Area
2019-08-01,0.0,45.447834296399655,10.402125972124606,472.7540975113943
2019-08-01,1.0,22.3823197347326,20.069789838892873,449.2084531829878
2019-08-01,2.0,225.35506876242857,64.49908994704433,14535.19685013024
2019-08-01,3.0,65.8452941734785,43.70317539202071,2877.6484400027307
2019-08-01,4.0,32.57948271405021,20.10255684271198,654.9309031653466
2019-08-01,5.0,251.79804084403904,149.6712520587123,37686.928039058104
2019-08-01,6.0,5.202852282667346,3.030947853220902,15.769573956776062
2019-08-01,7.0,3.5388364124092537,2.845943607811946,10.071328866988276
2019-08-01,8.0,7.880464418373763,2.1155345379628403,16.671394652256943
2019-08-01,9.0,14.974520745100484,1.4094372005963443,21.10564659924631
2019-08-01,10.0,70.9569467691809,65.08805392838642,4618.449577906091
2019-08-01,11.0,1.7038841985671944,1.5891565825391127,2.7077387900374377
2019-08-01,12.0,7.083964206771028,4.702065047969251,33.30926049772327
2019-08-01,13.0,47.282786510241486,38.927818604134025,1840.615736368676
2019-08-01,14.0,12.140174914791807,4.784382351313466,58.08323860418838
2019-08-01,15.0,9.977552662763998,1.0847738995830019,10.823388710281266
2019-08-01,16.0,68.76155751333425,46.39089224112681,3189.9100049331328
2019-08-01,17.0,17.481196537223482,8.055130682581462,140.81332259522569
2019-08-01,18.0,4.472696021238539,0.9626798954878285,4.305774538274743
2019-08-01,19.0,5.717842166345953,2.4270960206867103,13.877751968852941
2019-08-01,20.0,16.435676719572843,8.78155702338524,144.33083233085418
2019-08-01,21.0,45.486558557578405,43.79310060356017,1991.997435021762
2019-08-01,22.0,38.746982015495874,17.170621682830184,665.3097695395046
2019-08-01,23.0,52.60742463076388,48.07910594054577,2529.3179420817737
2019-08-01,24.0,36.76457828447029,20.102910642176994,739.075032050027
2019-08-01,25.0,23.80522827421382,10.308772094329713,245.4026729323641
2019-08-02,0.0,34.23940609597304,13.534293836982483,463.40618290666833
2019-08-02,1.0,83.73830009764158,17.754574370151293,1486.7378767136247
2019-08-02,2.0,12.169967934486614,8.471133571053262,103.09342392847128
2019-08-02,3.0,25.40817326088285,24.5662873560544,624.1844855192659
2019-08-02,4.0,2.365769455892201,0.6067163233320418,1.4353509461301615
2019-08-02,5.0,4.166881918734151,3.235188245820707,13.48064740521156
2019-08-02,6.0,14.073349756765616,3.4685857730123595,48.814620744944165
2019-08-02,7.0,15.387264173091657,5.414656998795036,83.31675764713884
2019-08-02,8.0,79.94366541244518,41.18802511979676,3292.72169917642
2019-08-02,9.0,58.28813975318719,30.358711122207218,1769.5527966178527
2019-08-02,10.0,55.660787010776424,40.12340968451568,2233.300560595951
2019-08-02,11.0,223.758824573871,105.91206459376346,23698.759081692413
2019-08-02,12.0,86.18771252468193,45.09161504916082,3886.3431551306944
2019-08-02,13.0,33.28497867300145,14.469611937582771,481.62072474904966
2019-08-02,14.0,32.36201973698318,20.949395025686396,677.9647352991203
2019-08-02,15.0,36.930972332698985,12.592225578592501,465.0431344501041
2019-08-02,16.0,31.732408458053307,6.636501079818708,210.5921629971191
2019-08-02,17.0,7.883025387668321,5.952688455334672,46.925194218283345
2019-08-02,18.0,232.00603254667126,174.02857548799,40375.679348717444
2019-08-02,19.0,2.192742970310568,2.175020781756862,4.769261529476755
2019-08-02,20.0,4.292804174520402,1.7678302299735336,7.588948991073747
2019-08-02,21.0,27.19920724976012,5.498132134695934,149.54483541816074
2019-08-02,22.0,8.619950782436744,8.411379905330456,72.50568079632598
2019-08-02,23.0,22.82598206992578,12.580778100793847,287.16861535443525
2019-08-02,24.0,25.58577567932004,15.213697994499718,389.25426414019097
2019-08-02,25.0,53.49115915804439,37.22719780143969,1991.3259626048105
2019-08-02,26.0,16.173216522468724,3.6174029843958646,58.50504171565887
2019-08-02,27.0,27.598465906529338,27.508289150325535,759.1865802622101
2019-08-02,28.0,27.53118410592295,13.619582973749447,374.9632462961896
2019-08-02,29.0,25.48227020026526,6.960066501622231,177.35829520615266
2019-08-02,30.0,21.60933744625944,15.030538349720196,324.79997519804715
2019-08-02,31.0,77.11423291961398,61.06084657837616,4708.660345313713
2019-08-02,32.0,49.68205364644752,34.94449247021297,1736.1141495530023
2019-08-02,33.0,6.124400622315753,2.580173821911909,15.802018160600111
2019-08-02,34.0,3.216741261440622,2.8089259402920295,9.035587972468267
2019-08-02,35.0,5.059785187034421,0.9203289631200885,4.656666854793771
2019-08-02,36.0,32.00952042119225,28.721721796990217,919.3685403925609
2019-08-02,37.0,1.4680156006583378,1.224880124463242,1.7981431316483656
2019-08-02,38.0,37.90369658940219,7.463755524765945,282.9039248282027
2019-08-02,39.0,2.3055199636092913,1.1790902132681054,2.7184160255859537
2019-08-02,40.0,25.939984691901014,17.895244691837995,464.2023733641005
2019-08-03,0.0,66.77982472072159,52.34857228876734,3495.8284818239067
2019-08-03,1.0,69.80575774575327,15.201638958471387,1061.1619264734586
2019-08-03,2.0,11.488595254886626,5.6260271285557435,64.63514857298894
2019-08-03,3.0,9.926060543003816,5.91016991282654,58.664704374155825
2019-08-03,4.0,3.6627356105621427,1.0702711540853778,3.920120269025955
2019-08-03,5.0,8.543226380399691,4.191716089084953,35.810779471416396
2019-08-03,6.0,18.869324888822632,12.360211115766775,233.22883923784016
2019-08-03,7.0,9.717683222050887,7.363261786079196,71.55384551815025
2019-08-03,8.0,198.18012060252727,184.14544039299633,36493.96558548951
2019-08-03,9.0,35.21476239725659,10.233044115243713,360.35421711895214
2019-08-03,10.0,30.72530640578272,8.063397726331505,247.75036581322723
