worker,company
-65.64025052953045,-7469.030271424967
-66.93450924321917,-7464.946082225885
-68.13024636526634,-6811.668605921229
-70.66249306098253,-6595.033505379264
-72.11932136687814,-7081.35339141744
-71.11518834503181,-6458.42973941656
-63.849271692709664,-6765.303756220215
-60.62395268672895,-7486.204671700626
-56.32482352213097,-7344.917642758275
-49.991841890456556,-7650.7981957879165
-47.62620258981415,-8090.686570284994
